Model,Class,precision,recall,f1-score,support
DecisionTree,0,0.6249451,0.6575786,0.6408467,2164.0
DecisionTree,1,0.5276923,0.6337182,0.5758657,2165.0
DecisionTree,2,0.6920223,0.5168591,0.5917504,2165.0
DecisionTree,accuracy,0.6027102,0.6027102,0.6027102,0.6027102
DecisionTree,macro avg,0.6148866,0.6027186,0.6028209,6494.0
DecisionTree,weighted avg,0.614885,0.6027102,0.6028151,6494.0
RandomForest,0,0.9953938,0.9986137,0.9970012,2164.0
RandomForest,1,0.9926097,0.9926097,0.9926097,2165.0
RandomForest,2,0.9962929,0.9930716,0.9946796,2165.0
RandomForest,accuracy,0.9947644,0.9947644,0.9947644,0.9947644
RandomForest,macro avg,0.9947655,0.994765,0.9947635,6494.0
RandomForest,weighted avg,0.9947654,0.9947644,0.9947631,6494.0
GradientBoosting,0,0.9894107,0.9930684,0.9912362,2164.0
GradientBoosting,1,0.987019,0.9833718,0.985192,2165.0
GradientBoosting,2,0.9907621,0.9907621,0.9907621,2165.0
GradientBoosting,accuracy,0.9890668,0.9890668,0.9890668,0.9890668
GradientBoosting,macro avg,0.9890639,0.9890674,0.9890634,6494.0
GradientBoosting,weighted avg,0.9890639,0.9890668,0.9890631,6494.0
SVM,0,0.8955546,0.9588725,0.9261326,2164.0
SVM,1,0.8827651,0.8729792,0.8778449,2165.0
SVM,2,0.9341847,0.8785219,0.9054987,2165.0
SVM,accuracy,0.9034493,0.9034493,0.9034493,0.9034493
SVM,macro avg,0.9041681,0.9034579,0.9031587,6494.0
SVM,weighted avg,0.9041694,0.9034493,0.9031552,6494.0
LogisticRegression,0,0.5308112,0.6289279,0.5757191,2164.0
LogisticRegression,1,0.4827982,0.3889145,0.4308007,2165.0
LogisticRegression,2,0.5873742,0.5930716,0.5902091,2165.0
LogisticRegression,accuracy,0.5369572,0.5369572,0.5369572,0.5369572
LogisticRegression,macro avg,0.5336612,0.5369714,0.532243,6494.0
LogisticRegression,weighted avg,0.5336616,0.5369572,0.5322363,6494.0
